disease,treatment
21-hydroxylase deficiency,"What is the goal for treating 21-hydroxylase-deficient congenital adrenal hyperplasia? The objectives for treating 21-hydroxylase deficiency differ with age. In childhood, the overall goal is to replace cortisol. Obtaining hormonal balance is important and patients growth velocity and bone age is monitored. Routine analysis of blood, urine, and/or saliva may also be necessary. Corrective surgery is frequently required for females born with abnormal genitalia. In late childhood and adolescence, maintaining hormonal balance is equally important. Overtreatment may result in obesity and delayed menarche/puberty, whereas under-replacement will result in sexual precocity. Also, it is important that teens and young adults with 21-hydroxylase deficiency be successfully transitioned to adult care facilities. Follow-up of adult patients should involve multidisciplinary clinics. Problems in adult women include fertility concerns, excessive hair growth, and menstrual irregularity; obesity and impact of short stature; sexual dysfunction and psychological problems. Counseling may be helpful. Adult males may develop enlargement of the testes and if so, should work with an endocrinologist familiar with the management of patients with this deficiency."
3-Hydroxyisobutyric aciduria,"How might 3-hydroxyisobutyric aciduria be treated? There is no cure for 3-hydroxyisobutyric aciduria. Because it is so rare, there is limited evidence to support the effectiveness of treatment. However, affected people have been treated with a protein-restricted diet and carnitine supplementation with varying degrees of success."
47 XXX syndrome,"How might 47 XXX syndrome be treated? There is no cure for 47 XXX syndrome, and there is no way to remove the extra X chromosome that is present in an affected individual's cells. Management of the condition varies and depends on several factors including the age at diagnosis, the specific symptoms that are present, and the overall severity of the disorder in the affected individual. Early intervention services are typically recommended for infants and children that are diagnosed with the condition. Specific recommendations include developmental assessment by 4 months of age to evaluate muscle tone and strength; language and speech assessment by 12 months of age; pre-reading assessment during preschool years; and an assessment of additional learning disabilities as well as social and emotional problems. Evidence suggests that children with 47 XXX syndrome are very responsive to early intervention services and treatment. Some services that affected children may take part in include speech therapy, occupational therapy, physical therapy, and developmental therapy and counseling. It is also recommended that infants and children with 47 XXX syndrome receive kidney and heart evaluations to detect possible abnormalities. Adolescent and adult women who have late periods, menstrual abnormalities, or fertility issues should be evaluated for primary ovarian failure (POF). Additional treatment for this disorder depends on the specific signs and symptoms present in the affected individual."
AIDS-Related Lymphoma,"Key Points
                    - There are different types of treatment for patients with AIDS-related lymphoma.     - Treatment of AIDS-related lymphoma combines treatment of the lymphoma with treatment for AIDS.    - Four types of standard treatment are used:         - Chemotherapy      - Radiation therapy     - High-dose chemotherapy with stem cell transplant     - Targeted therapy        - New types of treatment are being tested in clinical trials.     - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with AIDS-related lymphoma.
                    Different types of treatment are available for patients with AIDS-related lymphoma. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Treatment of AIDS-related lymphoma combines treatment of the lymphoma with treatment for AIDS.
                    Patients with AIDS have weakened immune systems and treatment can cause the immune system to become even weaker. For this reason, treating patients who have AIDS-related lymphoma is difficult and some patients may be treated with lower doses of drugs than lymphoma patients who do not have AIDS.    Combined antiretroviral therapy (cART) is used to lessen the damage to the immune system caused by HIV. Treatment with combined antiretroviral therapy may allow some patients with AIDS-related lymphoma to safely receive anticancer drugs in standard or higher doses. In these patients, treatment may work as well as it does in lymphoma patients who do not have AIDS. Medicine to prevent and treat infections, which can be serious, is also used.   For more information about AIDS and its treatment, please see the AIDSinfo website.
                
                
                    Four types of standard treatment are used:
                    Chemotherapy      Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid (intrathecal chemotherapy), an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). Combination chemotherapy is treatment using more than one anticancer drug.    The way the chemotherapy is given depends on where the cancer has formed. Intrathecal chemotherapy may be used in patients who are more likely to have lymphoma in the central nervous system (CNS).       Chemotherapy is used in the treatment of AIDS-related peripheral/systemic lymphoma. It is not yet known whether it is best to give combined antiretroviral therapy at the same time as chemotherapy or after chemotherapy ends.     Colony-stimulating factors are sometimes given together with chemotherapy. This helps lessen the side effects chemotherapy may have on the bone marrow.       Radiation therapy     Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.            The way the radiation therapy is given depends on where the cancer has formed. External radiation therapy is used to treat AIDS-related primary CNS lymphoma.       High-dose chemotherapy with stem cell transplant     High-dose chemotherapy with stem cell transplant is a way of giving high doses of chemotherapy and replacing blood -forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the blood or bone marrow of the patient or a donor and are frozen and stored. After the chemotherapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the body's blood cells.        Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Monoclonal antibody therapy is a type of targeted therapy.    Monoclonal antibody therapy is a cancer treatment that uses antibodies made in the laboratory from a single type of immune system cell. These antibodies can identify substances on cancer cells or normal substances that may help cancer cells grow. The antibodies attach to the substances and kill the cancer cells, block their growth, or keep them from spreading. Monoclonal antibodies are given by infusion. These may be used alone or to carry drugs, toxins, or radioactive material directly to cancer cells. Rituximab is used in the treatment of AIDS-related peripheral/systemic lymphoma.
                
                
                    New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.
                
                
                
				            Treatment Options for AIDS-Related Lymphoma
				            
				                
				                    AIDS-Related Peripheral/Systemic Lymphoma
				                    Treatment of AIDS-related peripheral/systemic lymphoma may include the following:         -  Combination chemotherapy with or without targeted therapy.    -  High-dose chemotherapy and stem cell transplant, for lymphoma that has not responded to treatment or has come back.     -  Intrathecal chemotherapy for lymphoma that is likely to spread to the central nervous system (CNS).        Check the list of NCI-supported cancer clinical trials that are now accepting patients with AIDS-related peripheral/systemic lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
				                
				                
				                    AIDS-Related Primary Central Nervous System Lymphoma
				                    Treatment of AIDS-related primary central nervous system lymphoma may include the following:          -  External radiation therapy.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with AIDS-related primary CNS lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website."
ARDS,"ARDS is treated in a hospital's intensive care unit. Current treatment approaches focus on improving blood oxygen levels and providing supportive care. Doctors also will try to pinpoint and treat the underlying cause of the condition.
                
Oxygen Therapy
                
One of the main goals of treating ARDS is to provide oxygen to your lungs and other organs (such as your brain and kidneys). Your organs need oxygen to work properly.
                
Oxygen usually is given through nasal prongs or a mask that fits over your mouth and nose. However, if your oxygen level doesn't rise or it's still hard for you to breathe, your doctor will give you oxygen through a breathing tube. He or she will insert the flexible tube through your mouth or nose and into your windpipe.
                
Before inserting the tube, your doctor will squirt or spray a liquid medicine into your throat (and possibly your nose) to make it numb. Your doctor also will give you medicine through an intravenous (IV) line in your bloodstream to make you sleepy and relaxed.
                
The breathing tube will be connected to a machine that supports breathing (a ventilator). The ventilator will fill your lungs with oxygen-rich air.
                
Your doctor will adjust the ventilator as needed to help your lungs get the right amount of oxygen. This also will help prevent injury to your lungs from the pressure of the ventilator.
                
You'll use the breathing tube and ventilator until you can breathe on your own. If you need a ventilator for more than a few days, your doctor may do a tracheotomy (tra-ke-OT-o-me).
                
This procedure involves making a small cut in your neck to create an opening to the windpipe. The opening is called a tracheostomy (TRA-ke-OS-to-me). Your doctor will place the breathing tube directly into the windpipe. The tube is then connected to the ventilator.
                
For more information, go to the Health Topics Oxygen Therapy article.
                
Supportive Care
                
Supportive care refers to treatments that help relieve symptoms, prevent complications, or improve quality of life. Supportive approaches used to treat ARDS include:
                
Medicines to help you relax, relieve discomfort, and treat pain.
                
Ongoing monitoring of heart and lung function (including blood pressure and gas exchange).
                
Nutritional support. People who have ARDS often suffer from malnutrition. Thus, extra nutrition may be given through a feeding tube.
                
Treatment for infections. People who have ARDS are at higher risk for infections, such as pneumonia. Being on a ventilator also increases the risk of infections. Doctors use antibiotics to treat pneumonia and other infections.
                
Prevention of blood clots. Lying down for long periods can cause blood clots to form in the deep veins of your body. These clots can travel to your lungs and block blood flow (a condition called pulmonary embolism). Blood-thinning medicines and other treatments, such as compression stocking (stockings that create gentle pressure up the leg), are used to prevent blood clots.
                
Prevention of intestinal bleeding. People who receive long-term support from a ventilator are at increased risk of bleeding in the intestines. Medicines can reduce this risk.
                
Fluids. You may be given fluids to improve blood flow through your body and to provide nutrition. Your doctor will make sure you get the right amount of fluids. Fluids usually are given through an IV line inserted into one of your blood vessels."
Abdominal Adhesions,"Abdominal adhesions that do not cause symptoms generally do not require treatment. Surgery is the only way to treat abdominal adhesions that cause pain, intestinal obstruction, or fertility problems. More surgery, however, carries the risk of additional abdominal adhesions. People should speak with their health care provider about the best way to treat their abdominal adhesions.
                
Complete intestinal obstructions usually require immediate surgery to clear the blockage. Most partial intestinal obstructions can be managed without surgery."
Abetalipoproteinemia,"How might abetalipoproteinemia be treated? A nutritionist or other qualified medical professional should be consulted for specific dietary instruction in people with abetalipoproteinemia. Treatment involves very large doses of vitamin E, as well as large doses of vitamin supplements containing other fat-soluble vitamins (vitamin A, vitamin D, and vitamin K). Linoleic acid supplements are also recommended. Several diet changes and/or restrictions are also needed to prevent stomach problems. A low-fat diet may help with digestive symptoms; medium chain triglycerides may be used (under supervision of a specialist) as a source of fat in the diet. Management in adults typically focuses on specific complications associated with the disorder, and depends on the signs and symptoms present. Affected people may need consultations with several other types of specialists, including a lipidologist, gastroenterologist, hepatologist, ophthalmologist, and neurologist."
Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,"Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. Several prescription eye medications are available for treatment. However, the infection can be difficult to treat. The best treatment regimen for each patient should be determined by an eye doctor. If you suspect your eye may be infected with Acanthamoeba, see an eye doctor immediately.
    
Skin infections that are caused by Acanthamoeba but have not spread to the central nervous system can be successfully treated. Because this is a serious infection and the people affected typically have weakened immune systems, early diagnosis offers the best chance at cure.
    
Most cases of brain and spinal cord infection with Acanthamoeba (Granulomatous Amebic Encephalitis) are fatal."
Acanthoma,"How might an acanthoma be treated? Acanthomas are considered benign, but treatment may be done for cosmetic reasons or to relieve any associated symptoms.  Because acanthomas are quite rare, there are no established guidelines for treatment.  Treatment may depend on the type, number, and location of acanthomas.  For example, a single acanthoma may be removed by surgery, whereas multiple acanthomas may be treated with cryosurgery or the use of the medication fluorouracil cream."
Accessory navicular bone,"How might accessory navicular bone be treated? If the accessory navicular bone is causing symptoms, activities may be restricted and a softer shoe may be recommended until the symptoms go away. If the symptoms persist a specially and carefully made shoe support may be tried. In children the condition usually resolves once the child stops growing. For people with accessory navicular bone who experience severe symptoms surgery may be considered to remove the bony growth. Other treatments may include non-steroidal anti-inflammatories (NSAIDs) such as ibuprofen, placing a doughnut-shaped piece of moleskin around the affected area to relieve pain and tenderness, or immobilizing the area with a cast for six weeks."
